Blinding Lights | The Weeknd                              
Night Changes | One direction
Feel So Close | Calvin Harris
Perfect | Ed Sheeran
Save Your Tears | The Weeknd
Rockstar | Post Malone
Radioactive | Imagine Dragons
My Life Would Suck Without You | Kelly Clarkson
Whatever It Takes | Imagine Dragons
Beautiful People | Ed Sheeran
Wildest Dreams | Taylor Swift
I Know | Post Malone
Hollywood's Bleeding | Post Malone
Sorry | Justin Bieber
Dynamite | Taio Cruz
Dynamite | BTS
Shot Clock | Ella Mai
Mmmh | KAI
Can't Take My Eyes Off of You | Frankie Valli
I CAN'T STOP ME | TWICE
